Model,MDO4014B-3
Firmware Version,3.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.2
Horizontal Delay,1.5
Sample Interval,2e-05
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,1.4
,
,
,
Label,
TIME,CH1
5.147800e-01,-0.68
5.148000e-01,-0.96
5.148200e-01,-0.54
5.148400e-01,0.38
5.148600e-01,0.94
5.148800e-01,0.82
5.149000e-01,0.08
5.149200e-01,-0.64
5.149400e-01,-0.72
5.149600e-01,-0.36
5.149800e-01,0.2
5.150000e-01,0.34
5.150200e-01,0.04
5.150400e-01,-0.16
5.150600e-01,-0.08
5.150800e-01,0.2
5.151000e-01,0.38
5.151200e-01,0.24
5.151400e-01,-0.08
5.151600e-01,-0.46
5.151800e-01,-0.48
5.152000e-01,-0.2
5.152200e-01,0.16
5.152400e-01,0.42
5.152600e-01,0.4
5.152800e-01,0.36
5.153000e-01,-0.12
5.153200e-01,-0.8
5.153400e-01,-0.92
5.153600e-01,-0.12
5.153800e-01,0.9
5.154000e-01,1.16
5.154200e-01,0.52
5.154400e-01,-0.46
5.154600e-01,-1.14
5.154800e-01,-0.98
5.155000e-01,-0.02
5.155200e-01,0.92
5.155400e-01,1.14
5.155600e-01,0.46
5.155800e-01,-0.54
5.156000e-01,-0.92
5.156200e-01,-0.4
5.156400e-01,0.34
5.156600e-01,0.64
5.156800e-01,0.44
5.157000e-01,-0.06
5.157200e-01,-0.5
5.157400e-01,-0.64
5.157600e-01,-0.34
5.157800e-01,0.42
5.158000e-01,0.84
5.158200e-01,0.52
5.158400e-01,-0.28
5.158600e-01,-0.74
5.158800e-01,-0.54
5.159000e-01,-0.04
5.159200e-01,0.46
5.159400e-01,0.64
5.159600e-01,0.44
5.159800e-01,-0.08
5.160000e-01,-0.44
5.160200e-01,-0.48
5.160400e-01,-0.1
5.160600e-01,0.24
5.160800e-01,0.24
5.161000e-01,-0.02
5.161200e-01,-0.2
5.161400e-01,-0.14
5.161600e-01,0.04
5.161800e-01,0.12
5.162000e-01,0.02
5.162200e-01,-0.12
5.162400e-01,-0.22
5.162600e-01,-0.02
5.162800e-01,0.26
5.163000e-01,0.2
5.163200e-01,-0.18
5.163400e-01,-0.38
5.163600e-01,-0.2
5.163800e-01,0.18
5.164000e-01,0.38
5.164200e-01,0.14
5.164400e-01,-0.14
5.164600e-01,-0.28
5.164800e-01,-0.24
5.165000e-01,0.02
5.165200e-01,0.28
5.165400e-01,0.44
5.165600e-01,0.24
5.165800e-01,-0.18
5.166000e-01,-0.38
5.166200e-01,-0.4
5.166400e-01,-0.14
5.166600e-01,0.2
5.166800e-01,0.36
5.167000e-01,0.34
5.167200e-01,-0.18
5.167400e-01,-0.66
5.167600e-01,-0.42
5.167800e-01,0.44
5.168000e-01,0.74
5.168200e-01,0.3
5.168400e-01,-0.34
5.168600e-01,-0.72
5.168800e-01,-0.52
5.169000e-01,0.04
5.169200e-01,0.52
5.169400e-01,0.7
5.169600e-01,0.46
5.169800e-01,-0.38
5.170000e-01,-1.04
5.170200e-01,-0.78
5.170400e-01,0.26
5.170600e-01,1.24
5.170800e-01,1.14
5.171000e-01,-0.04
5.171200e-01,-1.18
5.171400e-01,-1.34
5.171600e-01,-0.5
5.171800e-01,0.66
5.172000e-01,1.22
5.172200e-01,0.76
5.172400e-01,-0.3
5.172600e-01,-0.92
5.172800e-01,-0.78
5.173000e-01,-0.1
5.173200e-01,0.58
5.173400e-01,0.78
5.173600e-01,0.3
5.173800e-01,-0.46
5.174000e-01,-0.7
5.174200e-01,-0.34
5.174400e-01,0.22
5.174600e-01,0.52
5.174800e-01,0.5
5.175000e-01,0.28
5.175200e-01,-0.12
5.175400e-01,-0.56
5.175600e-01,-0.66
5.175800e-01,-0.38
5.176000e-01,0.12
5.176200e-01,0.44
5.176400e-01,0.38
5.176600e-01,0.2
5.176800e-01,0.06
